Instancia,Media,Melhor,Gap
prob_25_1.txt,1353.3333333333333,1350,0.25
prob_25_2.txt,1310.0,1310,0.0
prob_25_3.txt,1140.0,1140,0.0
prob_25_4.txt,1200.0,1190,0.84
prob_25_5.txt,1090.0,1090,0.0
prob_25_6.txt,1266.6666666666667,1260,0.53
prob_25_7.txt,1260.0,1250,0.8
prob_25_8.txt,1260.0,1250,0.8
prob_25_9.txt,1350.0,1350,0.0
prob_25_10.txt,1370.0,1370,0.0
prob_50_1.txt,1940.0,1940,0.0
prob_50_2.txt,2210.0,2210,0.0
prob_50_3.txt,2716.6666666666665,2700,0.62
prob_50_4.txt,2530.0,2520,0.4
prob_50_5.txt,2603.3333333333335,2590,0.51
prob_50_6.txt,2320.0,2320,0.0
prob_50_7.txt,2496.6666666666665,2490,0.27
prob_50_8.txt,2730.0,2720,0.37
prob_50_9.txt,2146.6666666666665,2140,0.31
prob_50_10.txt,2640.0,2630,0.38
prob_100_1.txt,4880.0,4870,0.21
prob_100_2.txt,5450.0,5430,0.37
prob_100_3.txt,5160.0,5140,0.39
prob_100_4.txt,5190.0,5170,0.39
prob_100_5.txt,4980.0,4960,0.4
prob_100_6.txt,5166.666666666667,5160,0.13
prob_100_7.txt,4780.0,4770,0.21
prob_100_8.txt,4850.0,4840,0.21
prob_100_9.txt,5110.0,5100,0.2
prob_100_10.txt,4650.0,4640,0.22
prob_200_1.txt,10973.333333333334,10910,0.58
prob_200_2.txt,10343.333333333334,10290,0.52
prob_200_3.txt,10196.666666666666,10150,0.46
prob_200_4.txt,10143.333333333334,10100,0.43
prob_200_5.txt,9950.0,9910,0.4
prob_200_6.txt,10666.666666666666,10620,0.44
prob_200_7.txt,9963.333333333334,9920,0.44
prob_200_8.txt,9940.0,9900,0.4
prob_200_9.txt,9936.666666666666,9890,0.47
prob_200_10.txt,10246.666666666666,10200,0.46
prob_500_1.txt,25186.666666666668,25000,0.75
prob_500_2.txt,25973.333333333332,25720,0.98
prob_500_3.txt,24506.666666666668,24340,0.68
prob_500_4.txt,26043.333333333332,25790,0.98
prob_500_5.txt,24656.666666666668,24440,0.89
prob_500_6.txt,25050.0,24870,0.72
prob_500_7.txt,25176.666666666668,25010,0.67
prob_500_8.txt,25270.0,25100,0.68
prob_500_9.txt,25103.333333333332,24920,0.74
prob_500_10.txt,25726.666666666668,25560,0.65
