Instancia,Media,Melhor,Gap
prob_25_1.txt,1356.6666666666667,1350,0.49
prob_25_2.txt,1310.0,1310,0.0
prob_25_3.txt,1140.0,1140,0.0
prob_25_4.txt,1196.6666666666667,1190,0.56
prob_25_5.txt,1090.0,1090,0.0
prob_25_6.txt,1266.6666666666667,1260,0.53
prob_25_7.txt,1260.0,1250,0.8
prob_25_8.txt,1260.0,1250,0.8
prob_25_9.txt,1350.0,1350,0.0
prob_25_10.txt,1373.3333333333333,1370,0.24
prob_50_1.txt,1940.0,1940,0.0
prob_50_2.txt,2213.3333333333335,2210,0.15
prob_50_3.txt,2716.6666666666665,2700,0.62
prob_50_4.txt,2530.0,2520,0.4
prob_50_5.txt,2600.0,2590,0.39
prob_50_6.txt,2320.0,2320,0.0
prob_50_7.txt,2500.0,2490,0.4
prob_50_8.txt,2730.0,2720,0.37
prob_50_9.txt,2150.0,2140,0.47
prob_50_10.txt,2633.3333333333335,2630,0.13
prob_100_1.txt,4893.333333333333,4870,0.48
prob_100_2.txt,5473.333333333333,5430,0.8
prob_100_3.txt,5190.0,5140,0.97
prob_100_4.txt,5230.0,5170,1.16
prob_100_5.txt,4996.666666666667,4960,0.74
prob_100_6.txt,5186.666666666667,5160,0.52
prob_100_7.txt,4800.0,4770,0.63
prob_100_8.txt,4876.666666666667,4840,0.76
prob_100_9.txt,5140.0,5100,0.78
prob_100_10.txt,4666.666666666667,4640,0.57
prob_200_1.txt,11110.0,10910,1.83
prob_200_2.txt,10466.666666666666,10290,1.72
prob_200_3.txt,10306.666666666666,10150,1.54
prob_200_4.txt,10230.0,10100,1.29
prob_200_5.txt,10043.333333333334,9910,1.35
prob_200_6.txt,10786.666666666666,10620,1.57
prob_200_7.txt,10060.0,9920,1.41
prob_200_8.txt,10033.333333333334,9900,1.35
prob_200_9.txt,10016.666666666666,9890,1.28
prob_200_10.txt,10350.0,10200,1.47
prob_500_1.txt,25546.666666666668,25000,2.19
